unitID,unitdisplayname,cost,stats,startingage,upgradeto,unique,tiletype
longbowman,Longbowman,0:15T 40F 50W,asdf,2,vetlongbowman,y,unit
vetlongbowman,Veteran Longbowman,0:15T 40F 50W,asdf,3,elitelongbowman,y,unit
elitelongbowman,Elite Longbowman,0:15T 40F 50W,asdf,4,,y,unit
arrowvolley,Arrow Volley,1:00T 150W 350G,,4,,y,tech
archer,Archer,0:15T 30F 50W,,2,vetarcher,n,unit
vetarcher,Veteran Archer,0:15T 30F 50W,,3,elitearcher,n,unit
elitearcher,Elite Archer,0:15T 30F 50W,,4,vetarcher,n,unit
xbowman,Crossbowman,0:23T 80F 40G,,3,elitexbowman,n,unit
elitexbowman,Elite Crossbowman,0:23T 80F 40G,,4,,n,unit
handcannon,Handcannoneer,0:35T 120F 120G,,4,,n,unit
vanmaa,Vanguard Man-at-Arms,22.5T 100F 20G,,1,earlymaa,y,unit
earlymaa,Early Man-at-Arms,22.5T 100F 20G,,2,maa,y,unit
maa,Man-at-Arms,22.5T 100F 20G,,3,elitemaa,n,unit
elitemaa,Elite Man-at-Arms,22.5T 100F 20G,,4,,n,unit
spearman,Spearman,0:15T 60F 20W,,1,hardspear,n,unit
hardspear,Hardened Spearman,0:15T 60F 20W,,2,vetspear,n,unit
vetspear,Veteran Spearman,0:15T 60F 20W,,3,elitespear,n,unit
elitespear,Elite Spearman,0:15T 60F 20W,,4,,n,unit
armorclad,Armor Clad,1:00T 150F 350G,,3,,y,tech
scout,Scout,0:25T 70F,,1,,n,unit
malscout,Scout,0:25T 70F,,1,,n,unit
warscout,Warrior Scout,0:25T 70F,,2,,y,unit
horseman,Horseman,0:23T 100F 20W,,2,vethorseman,n,unit
vethorseman,Veteran Horseman,0:23T 100F 20W,,3,elitehorseman,n,unit
elitehorseman,Elite Horseman,0:23T 100F 20W,,4,,n,unit
knight,Knight,0:35T 140F 100G,,3,eliteknight,n,unit
eliteknight,Elite Knight,0:35T 140F 100G,,4,,n,unit
king,King,0:35T 100F 100G,,2,,y,unit
vill,Villager,0:20T 50F,,1,,n,unit
textiles,Textiles,0:20T 50F 100G,,2,,n,tech
tc,Town Center,2:30T 400W 350S,,2,,n,build
ctc,Capital Town Center,,,1,,n,lm
abbeyofkings,Abbey of Kings,3:10T 400F 200G,"Heals all nearby friendly units that are out of combat by +6 every 1 seconds. May also Crown a King, a powerful cavalry leader with an out of combat healing aura.",1,,y,lm
councilhall,Council Hall,3:10T 400F 200G,Acts as an Archery Range with all units and technologies. Works +100% faster.,1,,y,lm
kingspalace,King's Palace,3:40T 1200F 600G,"Acts as a Town Center with all the behaviors, technology, units, and bonuses.",2,,y,lm
thewhitetower,The White Tower,3:40T 1200F 600G,"Acts as a Keep with all the behaviors, technologies, and bonuses. Works 100% faster.",2,,y,lm
berkshirepalace,Berkshire Palace,4:10T 2400F 1200G,Acts as a Keep with increased health and powerful incendiary arrows. All weapons have 15 tiles of range.,3,,y,lm
wynguardpalace,Wynguard Palace,4:10T 2400F 1200G,"Allows production of 4 battalions: Wynguard Army, Wynguard Rangers, and Wynguard Raiders, and Wynguard Footmen.",3,,y,lm
landmarks,Landmarks,,,,,,lm
barracks,Barracks,0:30T 150W,Produces melee infantry units.,1,,n,build
archeryrange,Archery Range,0:30T 150W,Produces ranged infantry units.,2,,n,build
stable,Stable,0:30T 150W,Produces cavalry military units.,2,,n,build
blacksmith,Blacksmith,0:25T 150W,Houses technology to improve infantry and cavalry.,2,,n,build
siegeworkshop,Siege Workshop,0:45T 300W,Produces siege engines and powerful gunpowder units.,3,,n,build
dock,Dock,0:30T 150W,Produces naval units. Automatically repairs nearby damaged naval units. Capable of holding up to three Fishing Ships.,1,,n,build
mill,Mill,0:20T 50W,Villagers can drop off Food at this building. Houses technologies to improve Food gathering.,1,,n,build
lumbercamp,Lumber Camp,0:20T 50W,Villagers can drop off Wood at this building. Houses technologies to improve Wood gathering.,1,,n,build
miningcamp,Mining Camp,0:20T 50W,Villagers can drop off Stone and Gold at this building. Houses technologies to improve mining.,1,,n,build
